Product name,reviews,source
Apple MacBook Air Laptop,"I got this laptop sep 2023 and the Jan 25 the display is gone - no damage at all.
No virus. Nothing
The service centre is asking for 50k for the display change :(
Please don’t buy the M2 series.
",Amazon
Apple MacBook Air Laptop,"“I’ve been using the MacBook M2 with 16GB RAM and 256GB storage for a while now, and it’s an absolute beast! 🔥

Performance: The M2 chip is a game-changer. It handles everything I throw at it, from multitasking with heavy apps like Final Cut Pro and Photoshop to running virtual machines effortlessly. There’s zero lag, even with multiple tabs and applications open simultaneously.

Battery Life: The efficiency of the M2 chip paired with macOS is incredible. I easily get 10+ hours of battery life on a single charge, which makes it perfect for working on the go.

Build Quality: As expected from Apple, the build is premium. The sleek design, lightweight form factor, and stunning Retina display with vibrant colors make this laptop a joy to use every day.

Storage: While 256GB might seem limited for some, the speed of the SSD makes up for it. Apps launch instantly, and file transfers are blazing fast. For those who need more storage, external SSDs or cloud storage work seamlessly with the system.

Verdict: If you’re looking for a laptop that delivers on performance, portability, and battery life, the MacBook M2 is unbeatable in its class. Whether you’re a creative professional, a coder, or a student, this machine will not disappoint. Highly recommend!”

⭐ Rating: 5/5

Read more",Amazon
Apple MacBook Air Laptop,"Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️
Thank you Flipkart..!!!",Flipkart
Apple MacBook Air Laptop,This is the first MacBook I ever have. And I must say no one can match Apple product.,Flipkart
Apple MacBook Air Laptop,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

It's very thin and light and looks very premium.

As A software developer, i installed intellij idea ide and guess what.
It's magic,it is opening just in a click and within 5 seconds.
Great performance, no heating issue, sound quality awesome an...
READ MORE",Flipkart
Apple MacBook Air Laptop,"Superb built quality, Amazing performance and display quality...

Got it at 72k, wonderful product at great price.",Flipkart
Apple MacBook Air Laptop,Best powerful machine in all aspects,Flipkart
Apple MacBook Air Laptop,Its really very good and compact device.,Flipkart
Apple MacBook Air Laptop,"Awesome build quality and very good display, battery and camera. Still new to macOS",Flipkart
Apple MacBook Air Laptop,Super product,Flipkart
Apple Watch Series 9,Awesome watch with very sleek design and great battery life! Loved it!! 😍,Flipkart
Apple Watch Series 9,Happy with my new Apple purchase. Just check your wrist size before taking the decision for 41mm or 45mm. 41mm looks more like a watch I feel.,Flipkart
Apple Watch Series 9,Simply awesome. Perfect pairing with my iPhone 14 plus.,Flipkart
Apple Watch Series 9,Loved it. Great quality. Looks so premium.,Flipkart
Apple Watch Series 9,Awesome experience. This is my first apple watch and I am extremely happy with it. Worth it with the price I got at Big Billion Days.,Flipkart
Apple Watch Series 9,"Chic ! And at a 21% discount, it is amazing to have :)",Flipkart
Apple Watch Series 9,Top notch Performance!,Flipkart
Apple Watch Series 9,Just awesome.,Flipkart
Apple Watch Series 9,The product is really good and justifies the cost. Really happy with the item,Flipkart
Apple Watch Series 9,"Got my first apple watch. It was pricy and i got good discount. Battery last for 3 days. Accuracy is fine, ease of use would be considered if you get accustomed to it. Display is great. Quality is fine and could have beem even better at this price range
",Amazon
Apple Watch Series 9,Beautiful watch ❤️,Flipkart
Apple Watch Series 9,"This is the first time after much speculations and weighing all the other options I decided to buy an Apple Watch.
I’ve been using it for last two months and it’s flawless.
It has every feature, and of course, using it with iPhone or iPad Makes it very easy to use .
The best part about the watch is it’s connectivity, gestures, of course.
It’s battery life is very good. I have to charge once in one and a half day and that’s all ,it last for long, given that it is connected with Wi-Fi whole time.
It charges very quickly.
When it comes to appearance, I ordered 41 MM, it comes with sports strap band which is really good quality, only if somebody wants a different strap then you can purchase separately otherwise, no need at all.
Separately, I ordered a protector and a screen guard.

If somebody is looking for new Apple Watch who has never used it, this money is worth, but I’ve heard that people already have previous series watches then there is no point in upgrading. I’ve heard that it is pretty much same but for new investment this is Best latest. 10 on 10.
",Amazon
Apple Watch Series 9,"Old but precise. That is how I would describe it. Old as in the packaging i got was quite dirty. But the product inside was fine and works very good. The only issue I find for this watch is the location service. It does not quite have the fast location service but nevertheless, looks and feels very nice.
",Amazon
Apple Watch Series 9,"Excellent watch with very good battery life. Apple watches get booted and paired very fast. UI is buttery smooth. Lack of direct WhatsApp App is a bit disappointing. Apart from that a must have watch for Apple users. Go for Silver as you can switch different colored bands with it :)
",Amazon
Apple Watch Series 9,"A super citizen like me (86) this watch serves spontaneously many desired tenets including hearing aid features when released in India accessed to my iPhone Pro 16. A must possess this tech extravaganza in life.
",Amazon
Apple Watch Series 9,"We disliked the entire deal, shocked by what we received. What should have been a nice birthday gift turned out to be trash worth absolutely nothing.
",Amazon
Apple Watch Series 9,"I waited sooo long to get this, finally I am wearing this beautiful 9 Series watch. Calare the the offline, I observed lot of difference in the price. Thank you Amazon for this product.

Product is Awesome 🤩 nothing can beat quality of Apple. Regular monitoring of blood oxygen levels, all fitness information. What not every thing included. You need not to use mobile phone if you wear Apple Watch. My screen time got reduced, every time I need not to check my Phone for all the notifications.

I recommend all the users, it’s a best of best choice, don’t wait for anything just buy it. You will enjoy like anything.
",Amazon
Apple Watch Series 9,"The Apple Watch Series 9 emerges as a shining example of innovation and forward-thinking in the realm of smartwatches. With its brighter, more powerful screen and the introduction of the Double Tap gesture, it stands out as a significant leap forward in user interaction1. The new S9 chipset not only enhances performance but also paves the way for a more eco-friendly approach to technology.

One of the most talked-about features is the Double Tap gesture, which promises to revolutionize the way we interact with our devices on a daily basis1. It’s a delightful addition that enhances the overall user experience. Moreover, the watch’s commitment to sustainability is commendable, with its shift towards environmentally friendly materials and its status as the first carbon-neutral Apple device2.

While it maintains the classic design we’ve come to love, the Series 9 doesn’t shy away from introducing new technologies such as the Ultra Wideband (UWB) radio technology. This not only improves device finding capabilities but also ensures that the watch is future-proof, ready to embrace upcoming features developed for UWB-capable devices1.

In conclusion, the Apple Watch Series 9 is not just a smartwatch; it’s a statement of where technology can take us when it’s designed with both the user and the environment in mind. It’s the perfect companion for those who want the best of Apple’s smartwatch capabilities, wrapped up in a device that’s both powerful and responsible.

Read more",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)","Thank you so much Amazon for delivery the product ontime. I have placed the order as a gift for my son, and I know how much I disturbed the customer service if the product will be delivered on time or not. Truly speaking the customer service was awesome and they ensured delivery on time. Thanks a lot onceagain as you made my day by seeing wonderful smile on my sons face. THANK YOU 💖
",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)","It’s Apple.
",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)",Nice phone with great camera. My 1st iPhone and I m loving it,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)","Its good phone, value for the money.",Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)",Camera is really good and battery performance also too good. Now apple has inbuilt photo edit options which is really nice to make your photos much better one.,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)","SUPERB
Go for it guys without hesitation, great in hand feel ,, superb camera , awesome battery backup ,
Starlight Colour looks premium,
6.7 inch crisp display, Camera 5/5 performance 5/5
Very happy to have apple 14 plus,Thanks flipcart for genuine product delivered on time",Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)",Just wow I cannot express my feelings ❤️😍,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)",Super phone . camera is super😍,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)",I love the pictures and the night mode was awesome.... Mind-blowing product..,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)","Great Performance
Camera better than iPhone 13
Battery backup also good
Iphone 14 plus is just awesome.",Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)",Good quality and sarvice amezing phone,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)","About the phone
Apple phone without a second delay, I would say it is better than all android phones I have used. The phone is like water, it flows in a way you want and shaping in your way. In a best way possible, the phone is designed to only show what the user wants and eliminating unnecessary ads, features that I have seen in android.

Why it is better than Android?
You pay too much money for Apple products, obviously you experience the features, physical components , camera lens etc. Apart from basic things, you can also enjoy the best applications available in app store. If you are a developer you might know the app store policy for application publish and their security posture towards handling payment apps etc. They publish best application and the way the apps, its modules switches is just flawless. Due to the so called strict policy of privacy program with Apple products, iPhone can pop up a box in your screen if any apps wants to track your activity with other applications. +1 respect for apple to show such concern with user.

Apple phones are same ? like 13 vs 14
The reason 14 is same as 13 may be business practice followed from 11th edition. But please note that iPhone making changes internally like physical components (small change in battery performance, lens in 14 edition), additional features but that may not satisfy you to buy 14 edition. If you do not find ""the very few changes"" interesting in 14, go for 13. Because physical and even cameras are not visually very much different in 13 vs 14 comparison. Also you get 13 for cheap :)
14 is just added features but that is not for daily use, the features real time use is rare case. But the best part is there is no extra cost between 13 vs 14 prices (except extra 10k slash)

Concern you must have.
Apple is not giving chargers and their silicon cases are very expensive (but very good in touch and scratch friendly in back due to silk layer). This is an issue for sure. You have to buy charger not coming with USB C and claiming that you help carbon footprint, understandable but not customer friendly business model. Even after the purchase I had to spend at least 7k for charger and case.

Apple care.
I am not buying it, I pay for phone which is already expensive for this premium and apple care does have strict policy that if you understand that is waste. Instead I find a private insurance to make things better.

Read more",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)","Pros:

Good Looking (4/5): The Blue color variant adds to the aesthetic appeal, making the iPhone 14 an eye-catching device.

Better than iPhone 12 (4/5): The iPhone 14 exhibits improvements over the iPhone 12, contributing to an enhanced user experience.

Good Camera (4/5): The camera performance is commendable, capturing high-quality images and enhancing the overall photography experience.

In summary, the Apple iPhone 14 in Blue is a solid choice, offering a sleek design, improved features compared to the iPhone 12, and a reliable camera for capturing memorable moments.
",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)","Great Device. Smooth Working, Camera quality us best.
",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)","Apple iPhone 14 (128 GB) in Midnight is an impressive smartphone that combines elegance with top-notch performance. Its sleek design, vibrant Super Retina XDR display, and powerful A15 Bionic chip deliver a smooth and responsive experience. The improved camera system captures stunning photos and videos, even in low light, making it perfect for photography enthusiasts. Battery life is reliable for all-day use, and the 128 GB storage is ample for most users.

Pros:
Stunning display and sleek design
Exceptional camera performance
Smooth and powerful performance with the A15 chip
Reliable battery life

Cons:
Lacks a major design overhaul compared to its predecessor
No ProMotion (120 Hz refresh rate)

The iPhone 14 is a fantastic choice for those seeking a dependable, high-performance smartphone with premium features.

Read more",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)",Awesome camera quality,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)","Good product
",Amazon
"Apple iPhone 14 Plus (Blue, 128 GB)","It's battery is draining too fast. Not recommending to purchase this item over 50k. It's a waste of money..
",Amazon
"Apple iPhone 16 (Black, 128 GB)","Upgrading to the iPhone 16 was an absolute breeze! Apple has once again refined the transition process, making data transfer from my old iPhone effortless. With just a few taps, everything—from apps to settings—moved over flawlessly, making the switch feel seamless.

The performance is top-notch, with unparalleled smoothness in navigation, app responsiveness, and multitasking. The enhanced battery life, display quality, and camera features make it a worthy upgrade for anyone looking for the best smartphone experience.

If you’re considering an upgrade, the iPhone 16 won’t disappoint. Apple continues to set the standard for premium smartphones! Highly recommended!
",Amazon
"Apple iPhone 16 (Black, 128 GB)","A good phone at a good price
",Amazon
"Apple iPhone 16 (Black, 128 GB)","Best product
",Amazon
"Apple iPhone 16 (Black, 128 GB)","Very nice phone. Display is excellent in class.
Only con I notice it is not pairing with my series 3 watch.
",Amazon
"Apple iPhone 16 (Black, 128 GB)","Definately go for it......This colour also give you amezing feel✨...one more thing I am using iQOO z7pro which has 120hz display and iphone 16 has 60hz but it's surprisingly feel like 90hz ...so don't worry for refresh rate 👍
",Amazon
"Apple iPhone 16 (Black, 128 GB)","I am writing to formally complain about my recent purchase of an iPhone 16 from online on Amazon.
I received the item on the same day of purchase, but upon unboxing, I noticed that the iPhone came in a mismatched (muddled) box. When I powered it on, the phone was stuck on the “Hello” screen, repeatedly displaying “Hello” in multiple languages. It was completely unresponsive—none of the buttons, including the power and volume buttons, were functioning.

After approximately five hours, the battery finally drained, and the phone shut down. However, after restarting, the same issue persisted, with the device stuck on the “Hello” screen again.

I contacted Amazon’s support team, who advised me to reach out to Apple Support. Apple Support suggested some troubleshooting steps, but none resolved the issue. Ultimately, they advised me to visit an Apple-authorized service center for a software reinstallation—on a brand-new phone.

I then had to travel 5 km to a Maple (Apple-authorized) service center, where they reinstalled the software. The process took about 45–50 minutes, finally making the phone functional.

I am extremely disappointed with this experience. After purchasing a costly device, I suffered an entire day of inconvenience due to the seller’s inefficiency or the company’s negligence in quality control. This is unacceptable, especially for a premium product.

Previously, I had purchased an iPhone 15 online without any issues, but this time, the experience was frustrating and disappointing. I strongly urge you to take action against this seller for supplying what appears to be old or improperly stored stock.

I request appropriate compensation for the inconvenience and mental stress caused. Additionally, I advise other customers to be cautious when purchasing from this seller.

I hope Amazon takes this matter seriously and ensures such incidents do not happen again.

Read more",Amazon
"Apple iPhone 16 (Black, 128 GB)","Good product overall though heating very quick post charging. Think it’s a general problem with iPhone 16 models
",Amazon
"Apple iPhone 16 (Black, 128 GB)","High performance
Long lasting
Best quality
Best security
Just Apple thing.
",Amazon
"Apple iPhone 16 (Black, 128 GB)",Awesome..Loved It.🥰🥰,Flipkart
"Apple iPhone 16 (Black, 128 GB)",Awesome product,Flipkart
"Apple iPhone 16 (Black, 128 GB)","My father's first iphone❤️
Colour is awesome and so light in weight
It should be available with 256gb
Anyways design and camera is awesome",Flipkart
"Apple iPhone 16 (Black, 128 GB)",I love it ❤️❤️,Flipkart
"Apple iPhone 16 (Black, 128 GB)",iOS is always amazing.,Flipkart
"Apple iPhone 16 (Black, 128 GB)",Best phone,Flipkart
"Apple iPhone 16 (Black, 128 GB)",Just wow it's worth the price,Flipkart
"Apple iPhone 16 (Black, 128 GB)","like it
feel premium",Flipkart
"Apple iPhone 16 (Black, 128 GB)",Very good,Flipkart
"Apple iPhone 16 (Black, 128 GB)",Finally I got it 😃 and love it 😘,Flipkart
Apple iPhone 16 Pro Max(256 GB),Very premium design and premium hand feel battery performance was absolutely best no heating issue display performance mind blowing compact device. I switch s24 ultra to 16 Pro Max and I am very satisfied.,Flipkart
Apple iPhone 16 Pro Max(256 GB),Desert Titanium Best Colour in Market and Looking Premium.,Flipkart
Apple iPhone 16 Pro Max(256 GB),The best.,Flipkart
Apple iPhone 16 Pro Max(256 GB),Always good to use,Flipkart
Apple iPhone 16 Pro Max(256 GB),This is a mini supercomputer. Speed just wow !!!,Flipkart
Apple iPhone 16 Pro Max(256 GB),Upgrade iPhone 13 to iPhone 16 Pro Max Desert Titanium Colour best buy,Flipkart
Apple iPhone 16 Pro Max(256 GB),"iPhone 16 Pro Max | Desert Titanium |
So powerful like a mini supercomputer ❤️",Flipkart
Apple iPhone 16 Pro Max(256 GB),Upgraded from 14 to 16 pro max and it is a powerful device..... best in the market 🔥,Flipkart
Apple iPhone 16 Pro Max(256 GB),"I've been using the iPhone 16 Pro Max for over a month, and I'm blown away by its sheer performance, stunning display, and revolutionary camera capabilities. Apple has truly outdone themselves with this flagship device.

*Pros:*

1. *Breathtaking Display*: The 6.9-inch Super Retina XDR display is mesmerizing, with vibrant colors and an immersive viewing experience.
2. *Camera Revolution*: The 48MP Pro camera system is incredible, capturing life-like images with ease. Night mode portraits and advanced features take mobile photography to new heights.
3. *Lightning-Fast Performance*: The A18 Pro chip delivers seamless multitasking, graphics-intensive gaming, and effortless navigation.
4. *All-Day Battery Life*: With up to 33 hours of video playback, I no longer worry about running out of juice.
5. *Sleek Design*: The titanium build and textured matte glass back exude premium quality and durability.

*Additional Highlights:*

- Dynamic Island and Always-On display provide an intuitive experience
- ProMotion technology with adaptive refresh rates up to 120Hz ensures silky-smooth visuals
- Fast charging and wireless charging (MagSafe and Qi) make powering up convenient
- IP68 rating ensures peace of mind against accidental water exposure

*Verdict:*

The iPhone 16 Pro Max is an exceptional device that justifies its premium price. If you're seeking the best iPhone experience, look no further. Apple's attention to detail, innovative features, and commitment to quality make this device a game-changer.

*Rating Breakdown:*

- Display: 5/5
- Camera: 5/5
- Performance: 5/5
- Battery Life: 5/5
- Design: 5/5
- Value: 4.5/5

*Recommendation:*

If you're due for an upgrade or seeking the ultimate smartphone experience, the iPhone 16 Pro Max is the perfect choice.

Read more",Amazon
Apple iPhone 16 Pro Max(256 GB),Best..!!,Flipkart
Apple iPhone 16 Pro Max(256 GB),"I love the iPhone 16 Pro Max. It's big, powerful, and up for anything. Yes, I play a console-level game on it without any issue. It takes lovely photos that, even if you choose not to try out the new styles and undertones, are clear and color-accurate.

Key Specs
Apple iPhone 16 Pro Max
RAM 8 GB
Processor Apple A18 Pro
Rear Camera 48 MP + 48 MP + 12 MP
Front Camera 12 MP
Battery 4685 mAh
Display 6.9 inches (17.53 cm)

Pros:
*Larger screens/thinner bezels
*4K slo-mo, OMG
*Powerful processor
*Camera control for instant camera access
*Good performance & battery life
*Excellent cameras & useful Photo Styles
*Video capabilities & Audio Mix
*Apple Intelligence

Cons:
*No 8K video recording
*Slow charging
*Pricey

Read more",Amazon
Apple iPhone 16 Pro Max(256 GB),"Excellent phone, Apple Intelligence is amazing, the battery life is mind blowing and comes with the best camera. If you have a 13 Pro Max or older, go for it. If you have a 14 Pro Max, the only difference you are going to see is Apple Intelligence, better battery life and slightly better cameras. Otherwise it's going to feel like the exact same phone if you use it without a case as the rounded eges in 16 Pro Max are better to use without cases. Skip and save money if you have the 15 Pro Max because the difference is negligible. The black titanium color looks gorgeous and the only good color in the current series. It's a shame they removed the Blue Titanium color. Also costs 15-20k less than the launch price of 15 Pro Max so that is a huge plus.
",Amazon
Apple iPhone 16 Pro Max(256 GB),"The phone recevied today evening, there is a tiny problm on display..
",Amazon
Apple iPhone 16 Pro Max(256 GB),I didn't need a new phone... until l saw it,Flipkart
Apple iPhone 16 Pro Max(256 GB),"The Good
Unbeatable video and audio recording features
Performance levels that you'll never max out
Apple's best display yet
The Not So Good

Apple Intelligence is sub-par
Not much difference from the iPhone 15 Pro Max
A bit too expensive
",Amazon
Apple iPhone 16 Pro Max(256 GB),"I did not like it at first. Its my first iPhone. I have used Samsung, Oneplus and Xiaomi phones. 16 Pro Max has many flaws. Android is much better now. But iOS is very smooth.

Things I liked:
1. Speakers are amazing.
2. Battery life is good.
3. Overall smoothness.
4. Camera is great.

Things I did not like:
1. All the Web Browsers (Safari or others) are limited to 60hz.
2. No option for menu bar navigation (android has both gestures and bar).
3. Display / Screen color is fixed at Natural tone (no option for Vivid etc).
4. Restricted files/folder access and many other UI limitations.
5. Managing Whatsapp media is a mess (its much simpler on android).
6. Telephoto 5X images are too soft.
7. No separate Camera folder in Photos app for the photos you take with your phone.

Read more",Amazon
Apple iPhone 16 Pro Max(256 GB),"Genuine Product
",Amazon
Apple iPhone 16 Pro Max(256 GB),"Beautiful
",Amazon
Crompton Optimus 100 Litres Desert Air Cooler for home,"I recently purchased the Crompton Optimus Desert Air Cooler (65L) and I'm thoroughly impressed with both the product and the seller's service.

Product Review:
The cooler is well-built with high-quality plastic that feels durable. The honeycomb pads are highly effective, efficiently cooling the room without excessive noise. A standout feature is the ice chamber conveniently located at the top, which enhances the cooling effect.
Initially, I encountered a minor issue with water distribution to the honeycomb pads. However, this leads me to the most impressive part of my experience - the customer service.

Seller Service:
When I shared the issue during their follow-up for a review, the seller's reaction was swift and customer-focused. They immediately offered to replace the cooler, no questions asked. The next day, they sent someone to deliver a new unit and take back the faulty one.
This level of service went above and beyond my expectations. It was far more convenient than having to ship such a large item myself, which Amazon had initially suggested. The seller's proactive approach, quick resolution, and hassle-free replacement process were truly impressive.

I recommend both this cooler and this seller. The product is efficient and well-designed, and with this level of after-sales support, I couldn't be happier with my purchase. It's refreshing to see a company that stands behind their product and prioritizes customer satisfaction to this degree.

Read more",Amazon
Crompton Optimus 100 Litres Desert Air Cooler for home,"Very good product crompton.
Air cooler size am not expect this much height .
It's very tall optimus 65 model.
It's suitable for big size hall ....
2 days am used this product ....
Cooling wise it's so wonderful am filling light hot water inside the chamber but output it's give cooling & breeze air .
First day approximately I filled 60-62 ltr water afternoon 1 to evening 8 o clock it's continuously running and comes under min level.

Second day filled 60 LTR water using at night time
9 pm to morning 5 am .
So average 8 hours it's running full tank capacity.

Noise wise quit good . Very pleasant .

First day full of honeycomb smell in hall .
But second day it's not in machine .
So smell so horrible at day 1 . So pls out of children from this cooler day 1.

Before operate & run the aircooler kindly check bottom chamber I identified two screw inside the water chamber.
I dont know how it's happened may be travelling time it may be happen .
So before check water chamber then you run it your cooler.

Note : Water issue area people & metro people
per day it's consump 60 ltr water so cost it around
25*3 water cane = 60 ruppes
60*30 days = 1800 rupees
+
Current bill consumption you add so total it around 2100 RS it's come monthly charge .
So my personal opinion
If you need aircooler for your home think & buy.
If water problem not in your area.
If water problem is there in your area kindly think and buy .

Thankyou

Read more",Amazon
